    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on build directory
    Finished release [optimized] target(s) in 0.88s
     Running `/home/harshalh/workspaces/epirust/engine/target/release/epirust -c /home/harshalh/workspaces/epirust/engine/config/high_baseline.json`
[2020-07-07T04:46:12Z INFO  epirust::geography::grid] Hospital capacity 15687: 
[2020-07-07T04:46:13Z INFO  epirust::epidemiology_simulation] Initialization completed in 8.897028 seconds
[2020-07-07T04:46:13Z INFO  epirust::listeners::events::counts] S: 3104579, E:32645, I: 0, H: 0, R: 0, D: 0
[2020-07-07T04:50:41Z INFO  epirust::epidemiology_simulation] Throughput: 0.37393036 iterations/sec; simulation hour 100 of 10000
[2020-07-07T04:50:41Z INFO  epirust::listeners::events::counts] S: 3104579, E:0, I: 32645, H: 0, R: 0, D: 0
[2020-07-07T04:55:15Z INFO  epirust::epidemiology_simulation] Throughput: 0.36946923 iterations/sec; simulation hour 200 of 10000
[2020-07-07T04:55:15Z INFO  epirust::listeners::events::counts] S: 3071779, E:30835, I: 30483, H: 4127, R: 0, D: 0
[2020-07-07T05:00:12Z INFO  epirust::epidemiology_simulation] Throughput: 0.3576082 iterations/sec; simulation hour 300 of 10000
[2020-07-07T05:00:12Z INFO  epirust::listeners::events::counts] S: 2935918, E:57858, I: 126448, H: 7273, R: 9727, D: 0
[2020-07-07T05:04:58Z INFO  epirust::epidemiology_simulation] Throughput: 0.35559005 iterations/sec; simulation hour 400 of 10000
[2020-07-07T05:04:58Z INFO  epirust::listeners::events::counts] S: 2805680, E:80942, I: 205165, H: 19632, R: 25805, D: 0
[2020-07-07T05:09:32Z INFO  epirust::epidemiology_simulation] Throughput: 0.35759467 iterations/sec; simulation hour 500 of 10000
[2020-07-07T05:09:32Z INFO  epirust::listeners::events::counts] S: 2480208, E:174182, I: 396587, H: 43811, R: 42436, D: 0
[2020-07-07T05:13:39Z INFO  epirust::epidemiology_simulation] Throughput: 0.3645584 iterations/sec; simulation hour 600 of 10000
[2020-07-07T05:13:39Z INFO  epirust::listeners::events::counts] S: 2129079, E:179350, I: 595231, H: 87678, R: 145886, D: 0
[2020-07-07T05:17:25Z INFO  epirust::epidemiology_simulation] Throughput: 0.37397024 iterations/sec; simulation hour 700 of 10000
[2020-07-07T05:17:25Z INFO  epirust::listeners::events::counts] S: 1652049, E:264735, I: 818711, H: 148931, R: 252548, D: 250
[2020-07-07T05:20:47Z INFO  epirust::epidemiology_simulation] Throughput: 0.38577098 iterations/sec; simulation hour 800 of 10000
[2020-07-07T05:20:47Z INFO  epirust::listeners::events::counts] S: 1095597, E:250854, I: 1095792, H: 228139, R: 466592, D: 250
[2020-07-07T05:23:54Z INFO  epirust::epidemiology_simulation] Throughput: 0.39804563 iterations/sec; simulation hour 900 of 10000
[2020-07-07T05:23:54Z INFO  epirust::listeners::events::counts] S: 617171, E:195450, I: 1245042, H: 322250, R: 756652, D: 659
[2020-07-07T05:26:41Z INFO  epirust::epidemiology_simulation] Throughput: 0.41186005 iterations/sec; simulation hour 1000 of 10000
[2020-07-07T05:26:41Z INFO  epirust::listeners::events::counts] S: 308969, E:124371, I: 1170630, H: 403737, R: 1127979, D: 1538
[2020-07-07T05:29:22Z INFO  epirust::epidemiology_simulation] Throughput: 0.42497966 iterations/sec; simulation hour 1100 of 10000
[2020-07-07T05:29:22Z INFO  epirust::listeners::events::counts] S: 157397, E:60148, I: 880797, H: 461427, R: 1574946, D: 2509
[2020-07-07T05:32:03Z INFO  epirust::epidemiology_simulation] Throughput: 0.43645504 iterations/sec; simulation hour 1200 of 10000
[2020-07-07T05:32:03Z INFO  epirust::listeners::events::counts] S: 88091, E:28036, I: 474353, H: 446130, R: 2095088, D: 5526
[2020-07-07T05:34:50Z INFO  epirust::epidemiology_simulation] Throughput: 0.4457576 iterations/sec; simulation hour 1300 of 10000
