hour,susceptible,exposed,infected,hospitalized,recovered,deceased,totalinfected
1,3104579,32645,0,0,0,0,0
2,3104579,32645,0,0,0,0,0
3,3104579,32645,0,0,0,0,0
4,3104579,32645,0,0,0,0,0
5,3104579,32645,0,0,0,0,0
6,3104579,32645,0,0,0,0,0
7,3104579,32645,0,0,0,0,0
8,3104579,32645,0,0,0,0,0
9,3104579,32645,0,0,0,0,0
10,3104579,32645,0,0,0,0,0
11,3104579,32645,0,0,0,0,0
12,3104579,32645,0,0,0,0,0
13,3104579,32645,0,0,0,0,0
14,3104579,32645,0,0,0,0,0
15,3104579,32645,0,0,0,0,0
16,3104579,32645,0,0,0,0,0
17,3104579,32645,0,0,0,0,0
18,3104579,32645,0,0,0,0,0
19,3104579,32645,0,0,0,0,0
20,3104579,32645,0,0,0,0,0
21,3104579,32645,0,0,0,0,0
22,3104579,32645,0,0,0,0,0
23,3104579,32645,0,0,0,0,0
24,3104579,32645,0,0,0,0,0
25,3104579,32645,0,0,0,0,0
26,3104579,32645,0,0,0,0,0
27,3104579,32645,0,0,0,0,0
28,3104579,32645,0,0,0,0,0
29,3104579,32645,0,0,0,0,0
30,3104579,32645,0,0,0,0,0
31,3104579,32645,0,0,0,0,0
32,3104579,32645,0,0,0,0,0
33,3104579,32645,0,0,0,0,0
34,3104579,32645,0,0,0,0,0
35,3104579,32645,0,0,0,0,0
36,3104579,32645,0,0,0,0,0
37,3104579,32645,0,0,0,0,0
38,3104579,32645,0,0,0,0,0
39,3104579,32645,0,0,0,0,0
40,3104579,32645,0,0,0,0,0
41,3104579,32645,0,0,0,0,0
42,3104579,32645,0,0,0,0,0
43,3104579,32645,0,0,0,0,0
44,3104579,32645,0,0,0,0,0
45,3104579,32645,0,0,0,0,0
46,3104579,32645,0,0,0,0,0
47,3104579,32645,0,0,0,0,0
48,3104579,32645,0,0,0,0,0
49,3104579,32645,0,0,0,0,0
50,3104579,32645,0,0,0,0,0
51,3104579,32645,0,0,0,0,0
52,3104579,32645,0,0,0,0,0
53,3104579,32645,0,0,0,0,0
54,3104579,32645,0,0,0,0,0
55,3104579,0,32645,0,0,0,32645
56,3104579,0,32645,0,0,0,32645
57,3104579,0,32645,0,0,0,32645
58,3104579,0,32645,0,0,0,32645
59,3104579,0,32645,0,0,0,32645
60,3104579,0,32645,0,0,0,32645
61,3104579,0,32645,0,0,0,32645
62,3104579,0,32645,0,0,0,32645
63,3104579,0,32645,0,0,0,32645
64,3104579,0,32645,0,0,0,32645
65,3104579,0,32645,0,0,0,32645
66,3104579,0,32645,0,0,0,32645
67,3104579,0,32645,0,0,0,32645
68,3104579,0,32645,0,0,0,32645
69,3104579,0,32645,0,0,0,32645
70,3104579,0,32645,0,0,0,32645
71,3104579,0,32645,0,0,0,32645
72,3104579,0,32645,0,0,0,32645
73,3104579,0,32645,0,0,0,32645
74,3104579,0,32645,0,0,0,32645
75,3104579,0,32645,0,0,0,32645
76,3104579,0,32645,0,0,0,32645
77,3104579,0,32645,0,0,0,32645
78,3104579,0,32645,0,0,0,32645
79,3104579,0,32645,0,0,0,32645
80,3104579,0,32645,0,0,0,32645
81,3104579,0,32645,0,0,0,32645
82,3104579,0,32645,0,0,0,32645
83,3104579,0,32645,0,0,0,32645
84,3104579,0,32645,0,0,0,32645
85,3104579,0,32645,0,0,0,32645
86,3104579,0,32645,0,0,0,32645
87,3104579,0,32645,0,0,0,32645
88,3104579,0,32645,0,0,0,32645
89,3104579,0,32645,0,0,0,32645
90,3104579,0,32645,0,0,0,32645
91,3104579,0,32645,0,0,0,32645
92,3104579,0,32645,0,0,0,32645
93,3104579,0,32645,0,0,0,32645
94,3104579,0,32645,0,0,0,32645
95,3104579,0,32645,0,0,0,32645
96,3104579,0,32645,0,0,0,32645
97,3104579,0,32645,0,0,0,32645
98,3104579,0,32645,0,0,0,32645
99,3104579,0,32645,0,0,0,32645
100,3104579,0,32645,0,0,0,32645
101,3104579,0,32645,0,0,0,32645
102,3104579,0,32645,0,0,0,32645
103,3104579,0,32645,0,0,0,32645
104,3104579,0,32645,0,0,0,32645
105,3104579,0,32645,0,0,0,32645
106,3104579,0,32645,0,0,0,32645
107,3104579,0,32645,0,0,0,32645
108,3104579,0,32645,0,0,0,32645
109,3104579,0,32645,0,0,0,32645
110,3104579,0,32645,0,0,0,32645
111,3104579,0,32645,0,0,0,32645
112,3104579,0,32645,0,0,0,32645
113,3104579,0,32645,0,0,0,32645
114,3104579,0,32645,0,0,0,32645
115,3104579,0,32645,0,0,0,32645
116,3104579,0,32645,0,0,0,32645
117,3104579,0,32645,0,0,0,32645
118,3104579,0,32645,0,0,0,32645
119,3104579,0,32645,0,0,0,32645
120,3104579,0,32645,0,0,0,32645
121,3104579,0,32645,0,0,0,32645
122,3104579,0,32645,0,0,0,32645
123,3104579,0,32645,0,0,0,32645
124,3104579,0,32645,0,0,0,32645
125,3104579,0,32645,0,0,0,32645
126,3104579,0,32645,0,0,0,32645
127,3104579,0,32645,0,0,0,32645
128,3104579,0,32645,0,0,0,32645
129,3104579,0,32645,0,0,0,32645
130,3104579,0,32645,0,0,0,32645
131,3104579,0,32645,0,0,0,32645
132,3104579,0,32645,0,0,0,32645
133,3104579,0,32645,0,0,0,32645
134,3104579,0,32645,0,0,0,32645
135,3104579,0,32645,0,0,0,32645
136,3104579,0,32645,0,0,0,32645
137,3104579,0,32645,0,0,0,32645
138,3104579,0,32645,0,0,0,32645
139,3104579,0,32645,0,0,0,32645
140,3104579,0,32645,0,0,0,32645
141,3104579,0,32645,0,0,0,32645
142,3104579,0,32645,0,0,0,32645
143,3104579,0,32645,0,0,0,32645
144,3104579,0,31276,1369,0,0,32645
145,3104579,0,31276,1369,0,0,32645
146,3104579,0,31276,1369,0,0,32645
147,3104579,0,31276,1369,0,0,32645
148,3104579,0,31276,1369,0,0,32645
149,3104579,0,31276,1369,0,0,32645
150,3104579,0,31276,1369,0,0,32645
151,3104570,9,31276,1369,0,0,32645
152,3103904,675,31276,1369,0,0,32645
153,3103491,1088,31276,1369,0,0,32645
154,3103196,1383,31276,1369,0,0,32645
155,3103021,1558,31276,1369,0,0,32645
156,3103008,1571,31276,1369,0,0,32645
157,3103004,1575,31276,1369,0,0,32645
158,3102995,1584,31276,1369,0,0,32645
159,3102983,1596,31276,1369,0,0,32645
160,3102977,1602,31276,1369,0,0,32645
161,3102969,1610,31276,1369,0,0,32645
162,3102969,1610,31276,1369,0,0,32645
163,3102969,1610,31276,1369,0,0,32645
164,3102969,1610,31276,1369,0,0,32645
165,3102969,1610,31276,1369,0,0,32645
166,3102969,1610,31276,1369,0,0,32645
167,3102969,1610,31276,1369,0,0,32645
168,3102969,1610,29986,2659,0,0,32645
169,3102969,1610,29986,2659,0,0,32645
170,3102969,1610,29986,2659,0,0,32645
171,3102969,1610,29986,2659,0,0,32645
172,3102969,1610,29986,2659,0,0,32645
173,3102969,1610,29986,2659,0,0,32645
174,3102969,1610,29986,2659,0,0,32645
175,3102950,1629,29986,2659,0,0,32645
176,3102122,2457,29986,2659,0,0,32645
177,3101632,2947,29986,2659,0,0,32645
178,3101273,3306,29986,2659,0,0,32645
179,3101050,3529,29986,2659,0,0,32645
180,3101033,3546,29986,2659,0,0,32645
181,3101014,3565,29986,2659,0,0,32645
182,3101006,3573,29986,2659,0,0,32645
183,3100995,3584,29986,2659,0,0,32645
184,3100978,3601,29986,2659,0,0,32645
185,3100940,3639,29986,2659,0,0,32645
186,3100940,3639,29986,2659,0,0,32645
187,3100940,3639,29986,2659,0,0,32645
188,3100940,3639,29986,2659,0,0,32645
189,3100940,3639,29986,2659,0,0,32645
190,3100940,3639,29986,2659,0,0,32645
191,3100940,3639,29986,2659,0,0,32645
192,3100940,3639,28634,4011,0,0,32645
193,3100940,3639,28634,4011,0,0,32645
194,3100940,3639,28634,4011,0,0,32645
195,3100940,3639,28634,4011,0,0,32645
196,3100940,3639,28634,4011,0,0,32645
197,3100940,3639,28634,4011,0,0,32645
198,3100940,3639,28634,4011,0,0,32645
199,3100891,3465,28857,4011,0,0,32868
200,3100113,3834,29266,4011,0,0,33277
201,3099602,3898,29713,4011,0,0,33724
202,3099252,3953,30008,4011,0,0,34019
203,3099030,4035,30148,4011,0,0,34159
204,3099016,3994,30203,4011,0,0,34214
205,3098996,4009,30208,4011,0,0,34219
206,3098982,4011,30220,4011,0,0,34231
207,3098969,4016,30228,4011,0,0,34239
208,3098949,4026,30238,4011,0,0,34249
209,3098897,4072,30244,4011,0,0,34255
210,3098897,4072,30244,4011,0,0,34255
211,3098897,4072,30244,4011,0,0,34255
212,3098897,4072,30244,4011,0,0,34255
213,3098897,4072,30244,4011,0,0,34255
214,3098897,4072,30244,4011,0,0,34255
215,3098897,4072,30244,4011,0,0,34255
216,3098897,4072,28888,5367,0,0,34255
217,3098897,4072,28888,5367,0,0,34255
218,3098897,4072,28888,5367,0,0,34255
219,3098897,4072,28888,5367,0,0,34255
220,3098897,4072,28888,5367,0,0,34255
221,3098897,4072,28888,5367,0,0,34255
222,3098897,4072,28888,5367,0,0,34255
223,3098845,3832,29180,5367,0,0,34547
224,3098047,4105,29705,5367,0,0,35072
225,3097529,4080,30248,5367,0,0,35615
226,3097142,4141,30574,5367,0,0,35941
227,3096900,4189,30768,5367,0,0,36135
228,3096867,4163,30827,5367,0,0,36194
229,3096840,4174,30843,5367,0,0,36210
230,3096810,4196,30851,5367,0,0,36218
231,3096784,4206,30867,5367,0,0,36234
232,3096761,4207,30889,5367,0,0,36256
233,3096697,4250,30910,5367,0,0,36277
234,3096697,4243,30917,5367,0,0,36284
235,3096697,4243,30917,5367,0,0,36284
236,3096697,4243,30917,5367,0,0,36284
237,3096697,4243,30917,5367,0,0,36284
238,3096697,4243,30917,5367,0,0,36284
239,3096697,4243,30917,5367,0,0,36284
240,3096697,4243,29507,6777,0,0,36284
241,3096697,4243,29507,6777,0,0,36284
242,3096697,4243,29507,6777,0,0,36284
243,3096697,4243,29507,6777,0,0,36284
244,3096697,4243,29507,6777,0,0,36284
245,3096697,4243,29507,6777,0,0,36284
246,3096697,4243,29507,6777,0,0,36284
247,3096630,4024,29793,6777,0,0,36570
248,3095833,4287,30327,6777,0,0,37104
249,3095247,4345,30855,6777,0,0,37632
250,3094877,4366,31204,6777,0,0,37981
251,3094630,4452,31365,6777,0,0,38142
252,3094608,4400,31439,6777,0,0,38216
253,3094581,4412,31454,6777,0,0,38231
254,3094549,4430,31468,6777,0,0,38245
255,3094534,4430,31483,6777,0,0,38260
256,3094509,4430,31508,6777,0,0,38285
257,3094421,4486,31540,6777,0,0,38317
258,3094421,4476,31550,6777,0,0,38327
259,3094421,4476,31550,6777,0,0,38327
260,3094421,4476,31550,6777,0,0,38327
261,3094421,4476,31550,6777,0,0,38327
262,3094421,4476,31550,6777,0,0,38327
263,3094421,4476,31550,6777,0,0,38327
264,3094421,4476,31550,6777,0,0,38327
265,3094421,4476,31550,6777,0,0,38327
266,3094421,4476,31550,6777,0,0,38327
267,3094421,4476,31550,6777,0,0,38327
268,3094421,4476,31550,6777,0,0,38327
269,3094421,4476,31550,6777,0,0,38327
270,3094421,4476,31550,6777,0,0,38327
271,3094353,4270,31824,6777,0,0,38601
272,3094165,3915,32367,6777,0,0,39144
273,3094032,3492,32923,6777,0,0,39700
274,3093941,3196,33310,6777,0,0,40087
275,3093876,3065,33506,6777,0,0,40283
276,3093854,3009,33584,6777,0,0,40361
277,3093836,2998,33613,6777,0,0,40390
278,3093818,2989,33640,6777,0,0,40417
279,3093795,2986,33666,6777,0,0,40443
280,3093773,2969,33705,6777,0,0,40482
281,3093699,3013,33735,6777,0,0,40512
282,3093699,2998,33750,6777,0,0,40527
283,3093699,2998,33750,6777,0,0,40527
284,3093699,2998,33750,6777,0,0,40527
285,3093699,2998,33750,6777,0,0,40527
286,3093699,2998,33750,6777,0,0,40527
287,3093699,2998,23996,6777,9754,0,40527
288,3093699,2998,23931,6842,9754,0,40527
289,3093699,2998,23931,6842,9754,0,40527
290,3093699,2998,23931,6842,9754,0,40527
291,3093699,2998,23931,6842,9754,0,40527
292,3093699,2998,23931,6842,9754,0,40527
293,3093699,2998,23931,6842,9754,0,40527
294,3093699,2998,23931,6842,9754,0,40527
295,3093632,2742,24254,6842,9754,0,40850
296,3093603,2217,24808,6842,9754,0,41404
297,3093584,1708,25336,6842,9754,0,41932
298,3093567,1322,25739,6842,9754,0,42335
299,3093556,1120,25952,6842,9754,0,42548
300,3093555,1045,26028,6842,9754,0,42624
301,3093555,1017,26056,6842,9754,0,42652
302,3093555,996,26077,6842,9754,0,42673
303,3093555,974,26099,6842,9754,0,42695
304,3093555,935,26138,6842,9754,0,42734
305,3093477,963,26188,6842,9754,0,42784
306,3093477,944,26207,6842,9754,0,42803
307,3093477,944,26207,6842,9754,0,42803
308,3093477,944,26207,6842,9754,0,42803
309,3093477,944,26207,6842,9754,0,42803
310,3093477,944,26207,6842,9754,0,42803
311,3093477,944,26207,6842,9754,0,42803
312,3093477,944,26045,7004,9754,0,42803
313,3093477,944,26045,7004,9754,0,42803
314,3093477,944,26045,7004,9754,0,42803
315,3093477,944,26045,7004,9754,0,42803
316,3093477,944,26045,7004,9754,0,42803
317,3093477,944,26045,7004,9754,0,42803
318,3093477,944,26045,7004,9754,0,42803
319,3093408,901,26157,7004,9754,0,42915
320,3093373,787,26306,7004,9754,0,43064
321,3093347,687,26432,7004,9754,0,43190
322,3093333,611,26522,7004,9754,0,43280
323,3093320,562,26584,7004,9754,0,43342
324,3093320,535,26611,7004,9754,0,43369
325,3093320,515,26631,7004,9754,0,43389
326,3093319,499,26648,7004,9754,0,43406
327,3093317,473,26676,7004,9754,0,43434
328,3093317,437,26712,7004,9754,0,43470
329,3093243,471,26752,7004,9754,0,43510
330,3093243,456,26767,7004,9754,0,43525
331,3093243,456,26767,7004,9754,0,43525
332,3093243,456,26767,7004,9754,0,43525
333,3093243,456,26767,7004,9754,0,43525
334,3093243,456,26767,7004,9754,0,43525
335,3093243,456,26767,7004,9754,0,43525
336,3093243,456,26538,7233,9754,0,43525
337,3093243,456,26538,7233,9754,0,43525
338,3093243,456,26538,7233,9754,0,43525
339,3093243,456,26538,7233,9754,0,43525
340,3093243,456,26538,7233,9754,0,43525
341,3093243,456,26538,7233,9754,0,43525
342,3093243,456,26538,7233,9754,0,43525
343,3093182,462,26593,7233,9754,0,43580
344,3093127,476,26634,7233,9754,0,43621
345,3093086,497,26654,7233,9754,0,43641
346,3093063,504,26670,7233,9754,0,43657
347,3093051,509,26677,7233,9754,0,43664
348,3093046,509,26682,7233,9754,0,43669
