    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on build directory
    Finished release [optimized] target(s) in 0.92s
     Running `/home/harshalh/workspaces/epirust/engine/target/release/epirust -c /home/harshalh/workspaces/epirust/engine/config/high_lockdown.json`
[2020-07-07T04:46:15Z INFO  epirust::geography::grid] Hospital capacity 15687: 
[2020-07-07T04:46:16Z INFO  epirust::epidemiology_simulation] Initialization completed in 12.010968 seconds
[2020-07-07T04:46:17Z INFO  epirust::listeners::events::counts] S: 3104579, E:32645, I: 0, H: 0, R: 0, D: 0
[2020-07-07T04:49:27Z INFO  epirust::epidemiology_simulation] Locking the city. Hour: 72
[2020-07-07T04:49:45Z INFO  epirust::epidemiology_simulation] Throughput: 0.48106366 iterations/sec; simulation hour 100 of 10000
[2020-07-07T04:49:45Z INFO  epirust::listeners::events::counts] S: 3104579, E:0, I: 32645, H: 0, R: 0, D: 0
[2020-07-07T04:50:53Z INFO  epirust::epidemiology_simulation] Throughput: 0.72391754 iterations/sec; simulation hour 200 of 10000
[2020-07-07T04:50:53Z INFO  epirust::listeners::events::counts] S: 3100113, E:3834, I: 29266, H: 4011, R: 0, D: 0
[2020-07-07T04:52:04Z INFO  epirust::epidemiology_simulation] Throughput: 0.8649272 iterations/sec; simulation hour 300 of 10000
[2020-07-07T04:52:04Z INFO  epirust::listeners::events::counts] S: 3093555, E:1045, I: 26028, H: 6842, R: 9754, D: 0
[2020-07-07T04:53:13Z INFO  epirust::epidemiology_simulation] Throughput: 0.9608496 iterations/sec; simulation hour 400 of 10000
[2020-07-07T04:53:13Z INFO  epirust::listeners::events::counts] S: 3092430, E:580, I: 10367, H: 7979, R: 25868, D: 0
[2020-07-07T04:54:22Z INFO  epirust::epidemiology_simulation] Throughput: 1.0296198 iterations/sec; simulation hour 500 of 10000
[2020-07-07T04:54:22Z INFO  epirust::listeners::events::counts] S: 3091177, E:539, I: 8868, H: 9061, R: 27579, D: 0
[2020-07-07T04:54:24Z INFO  epirust::epidemiology_simulation] Unlocking city. Hour: 504
[2020-07-07T04:55:25Z INFO  epirust::epidemiology_simulation] Locking the city. Hour: 528
[2020-07-07T04:56:14Z INFO  epirust::epidemiology_simulation] Throughput: 1.0042242 iterations/sec; simulation hour 600 of 10000
[2020-07-07T04:56:14Z INFO  epirust::listeners::events::counts] S: 3087027, E:266, I: 6332, H: 9374, R: 34225, D: 0
[2020-07-07T04:57:21Z INFO  epirust::epidemiology_simulation] Throughput: 1.0538825 iterations/sec; simulation hour 700 of 10000
[2020-07-07T04:57:21Z INFO  epirust::listeners::events::counts] S: 3086252, E:506, I: 5054, H: 3281, R: 41907, D: 224
[2020-07-07T04:58:29Z INFO  epirust::epidemiology_simulation] Throughput: 1.0921899 iterations/sec; simulation hour 800 of 10000
[2020-07-07T04:58:29Z INFO  epirust::listeners::events::counts] S: 3085409, E:237, I: 3881, H: 3708, R: 43765, D: 224
