hour,susceptible,exposed,infected,hospitalized,recovered,deceased
1,3104579,32645,0,0,0,0
2,3104579,32645,0,0,0,0
3,3104579,32645,0,0,0,0
4,3104579,32645,0,0,0,0
5,3104579,32645,0,0,0,0
6,3104579,32645,0,0,0,0
7,3104579,32645,0,0,0,0
8,3104579,32645,0,0,0,0
9,3104579,32645,0,0,0,0
10,3104579,32645,0,0,0,0
11,3104579,32645,0,0,0,0
12,3104579,32645,0,0,0,0
13,3104579,32645,0,0,0,0
14,3104579,32645,0,0,0,0
15,3104579,32645,0,0,0,0
16,3104579,32645,0,0,0,0
17,3104579,32645,0,0,0,0
18,3104579,32645,0,0,0,0
19,3104579,32645,0,0,0,0
20,3104579,32645,0,0,0,0
21,3104579,32645,0,0,0,0
22,3104579,32645,0,0,0,0
23,3104579,32645,0,0,0,0
24,3104579,32645,0,0,0,0
25,3104579,32645,0,0,0,0
26,3104579,32645,0,0,0,0
27,3104579,32645,0,0,0,0
28,3104579,32645,0,0,0,0
29,3104579,32645,0,0,0,0
30,3104579,32645,0,0,0,0
31,3104579,32645,0,0,0,0
32,3104579,32645,0,0,0,0
33,3104579,32645,0,0,0,0
34,3104579,32645,0,0,0,0
35,3104579,32645,0,0,0,0
36,3104579,32645,0,0,0,0
37,3104579,32645,0,0,0,0
38,3104579,32645,0,0,0,0
39,3104579,32645,0,0,0,0
40,3104579,32645,0,0,0,0
41,3104579,32645,0,0,0,0
42,3104579,32645,0,0,0,0
43,3104579,32645,0,0,0,0
44,3104579,32645,0,0,0,0
45,3104579,32645,0,0,0,0
46,3104579,32645,0,0,0,0
47,3104579,32645,0,0,0,0
48,3104579,32645,0,0,0,0
49,3104579,32645,0,0,0,0
50,3104579,32645,0,0,0,0
51,3104579,32645,0,0,0,0
52,3104579,32645,0,0,0,0
53,3104579,32645,0,0,0,0
54,3104579,32645,0,0,0,0
55,3104579,0,32645,0,0,0
56,3104579,0,32645,0,0,0
57,3104579,0,32645,0,0,0
58,3104579,0,32645,0,0,0
59,3104579,0,32645,0,0,0
60,3104579,0,32645,0,0,0
61,3104579,0,32645,0,0,0
62,3104579,0,32645,0,0,0
63,3104579,0,32645,0,0,0
64,3104579,0,32645,0,0,0
65,3104579,0,32645,0,0,0
66,3104579,0,32645,0,0,0
67,3104579,0,32645,0,0,0
68,3104579,0,32645,0,0,0
69,3104579,0,32645,0,0,0
70,3104579,0,32645,0,0,0
71,3104579,0,32645,0,0,0
72,3104579,0,32645,0,0,0
73,3104579,0,32645,0,0,0
74,3104579,0,32645,0,0,0
75,3104579,0,32645,0,0,0
76,3104579,0,32645,0,0,0
77,3104579,0,32645,0,0,0
78,3104579,0,32645,0,0,0
79,3104579,0,32645,0,0,0
80,3104579,0,32645,0,0,0
81,3104579,0,32645,0,0,0
82,3104579,0,32645,0,0,0
83,3104579,0,32645,0,0,0
84,3104579,0,32645,0,0,0
85,3104579,0,32645,0,0,0
86,3104579,0,32645,0,0,0
87,3104579,0,32645,0,0,0
88,3104579,0,32645,0,0,0
89,3104579,0,32645,0,0,0
90,3104579,0,32645,0,0,0
91,3104579,0,32645,0,0,0
92,3104579,0,32645,0,0,0
93,3104579,0,32645,0,0,0
94,3104579,0,32645,0,0,0
95,3104579,0,32645,0,0,0
96,3104579,0,32645,0,0,0
97,3104579,0,32645,0,0,0
98,3104579,0,32645,0,0,0
99,3104579,0,32645,0,0,0
100,3104579,0,32645,0,0,0
101,3104579,0,32645,0,0,0
102,3104579,0,32645,0,0,0
103,3104579,0,32645,0,0,0
104,3104579,0,32645,0,0,0
105,3104579,0,32645,0,0,0
106,3104579,0,32645,0,0,0
107,3104579,0,32645,0,0,0
108,3104579,0,32645,0,0,0
109,3104579,0,32645,0,0,0
110,3104579,0,32645,0,0,0
111,3104579,0,32645,0,0,0
112,3104579,0,32645,0,0,0
113,3104579,0,32645,0,0,0
114,3104579,0,32645,0,0,0
115,3104579,0,32645,0,0,0
116,3104579,0,32645,0,0,0
117,3104579,0,32645,0,0,0
118,3104579,0,32645,0,0,0
119,3104579,0,32645,0,0,0
120,3104579,0,32645,0,0,0
121,3104579,0,32645,0,0,0
122,3104579,0,32645,0,0,0
123,3104579,0,32645,0,0,0
124,3104579,0,32645,0,0,0
125,3104579,0,32645,0,0,0
126,3104579,0,32645,0,0,0
127,3104579,0,32645,0,0,0
128,3104579,0,32645,0,0,0
129,3104579,0,32645,0,0,0
130,3104579,0,32645,0,0,0
131,3104579,0,32645,0,0,0
132,3104579,0,32645,0,0,0
133,3104579,0,32645,0,0,0
134,3104579,0,32645,0,0,0
135,3104579,0,32645,0,0,0
136,3104579,0,32645,0,0,0
137,3104579,0,32645,0,0,0
138,3104579,0,32645,0,0,0
139,3104579,0,32645,0,0,0
140,3104579,0,32645,0,0,0
141,3104579,0,32645,0,0,0
142,3104579,0,32645,0,0,0
143,3104579,0,32645,0,0,0
144,3104579,0,31336,1309,0,0
145,3104579,0,31336,1309,0,0
146,3104579,0,31336,1309,0,0
147,3104579,0,31336,1309,0,0
148,3104579,0,31336,1309,0,0
149,3104579,0,31336,1309,0,0
150,3104579,0,31336,1309,0,0
151,3104563,16,31336,1309,0,0
152,3103954,625,31336,1309,0,0
153,3103515,1064,31336,1309,0,0
154,3103225,1354,31336,1309,0,0
155,3103031,1548,31336,1309,0,0
156,3103023,1556,31336,1309,0,0
157,3103018,1561,31336,1309,0,0
158,3103011,1568,31336,1309,0,0
159,3103008,1571,31336,1309,0,0
160,3103006,1573,31336,1309,0,0
161,3102990,1589,31336,1309,0,0
162,3102990,1589,31336,1309,0,0
163,3102990,1589,31336,1309,0,0
164,3102990,1589,31336,1309,0,0
165,3102990,1589,31336,1309,0,0
166,3102990,1589,31336,1309,0,0
167,3102990,1589,31336,1309,0,0
168,3102990,1589,29970,2675,0,0
169,3102990,1589,29970,2675,0,0
170,3102990,1589,29970,2675,0,0
171,3102990,1589,29970,2675,0,0
172,3102990,1589,29970,2675,0,0
173,3102990,1589,29970,2675,0,0
174,3102990,1589,29970,2675,0,0
175,3102968,1611,29970,2675,0,0
176,3102219,2360,29970,2675,0,0
177,3101732,2847,29970,2675,0,0
178,3101367,3212,29970,2675,0,0
179,3101137,3442,29970,2675,0,0
180,3101113,3466,29970,2675,0,0
181,3101101,3478,29970,2675,0,0
182,3101083,3496,29970,2675,0,0
183,3101069,3510,29970,2675,0,0
184,3101062,3517,29970,2675,0,0
185,3101033,3546,29970,2675,0,0
186,3101033,3546,29970,2675,0,0
187,3101033,3546,29970,2675,0,0
188,3101033,3546,29970,2675,0,0
189,3101033,3546,29970,2675,0,0
190,3101033,3546,29970,2675,0,0
191,3101033,3546,29970,2675,0,0
192,3101033,3546,28603,4042,0,0
193,3101033,3546,28603,4042,0,0
194,3101033,3546,28603,4042,0,0
195,3101033,3546,28603,4042,0,0
196,3101033,3546,28603,4042,0,0
197,3101033,3546,28603,4042,0,0
198,3101033,3546,28603,4042,0,0
199,3100990,3380,28812,4042,0,0
200,3100202,3742,29238,4042,0,0
201,3099699,3813,29670,4042,0,0
202,3099322,3913,29947,4042,0,0
203,3099106,3967,30109,4042,0,0
204,3099090,3933,30159,4042,0,0
205,3099063,3951,30168,4042,0,0
206,3099047,3964,30171,4042,0,0
207,3099027,3980,30175,4042,0,0
208,3099014,3986,30182,4042,0,0
209,3098970,4028,30184,4042,0,0
210,3098970,4020,30192,4042,0,0
211,3098970,4020,30192,4042,0,0
212,3098970,4020,30192,4042,0,0
213,3098970,4020,30192,4042,0,0
214,3098970,4020,30192,4042,0,0
215,3098970,4020,30192,4042,0,0
216,3098970,4020,28891,5343,0,0
217,3098970,4020,28891,5343,0,0
218,3098970,4020,28891,5343,0,0
219,3098970,4020,28891,5343,0,0
220,3098970,4020,28891,5343,0,0
221,3098970,4020,28891,5343,0,0
222,3098970,4020,28891,5343,0,0
223,3098911,3802,29168,5343,0,0
224,3098139,4041,29701,5343,0,0
225,3097610,4108,30163,5343,0,0
226,3097255,4112,30514,5343,0,0
227,3096993,4194,30694,5343,0,0
228,3096967,4148,30766,5343,0,0
229,3096943,4152,30786,5343,0,0
230,3096918,4166,30797,5343,0,0
231,3096893,4176,30812,5343,0,0
232,3096872,4180,30829,5343,0,0
233,3096826,4214,30841,5343,0,0
234,3096826,4207,30848,5343,0,0
235,3096826,4207,30848,5343,0,0
236,3096826,4207,30848,5343,0,0
237,3096826,4207,30848,5343,0,0
238,3096826,4207,30848,5343,0,0
239,3096826,4207,30848,5343,0,0
240,3096826,4207,29514,6677,0,0
241,3096826,4207,29514,6677,0,0
242,3096826,4207,29514,6677,0,0
243,3096826,4207,29514,6677,0,0
244,3096826,4207,29514,6677,0,0
245,3096826,4207,29514,6677,0,0
246,3096826,4207,29514,6677,0,0
247,3096766,3972,29809,6677,0,0
248,3095991,4199,30357,6677,0,0
249,3095455,4217,30875,6677,0,0
250,3095086,4240,31221,6677,0,0
251,3094840,4306,31401,6677,0,0
252,3094817,4268,31462,6677,0,0
253,3094787,4280,31480,6677,0,0
254,3094764,4283,31500,6677,0,0
255,3094737,4292,31518,6677,0,0
256,3094715,4287,31545,6677,0,0
257,3094655,4320,31572,6677,0,0
258,3094655,4315,31577,6677,0,0
259,3094655,4315,31577,6677,0,0
260,3094655,4315,31577,6677,0,0
261,3094655,4315,31577,6677,0,0
262,3094655,4315,31577,6677,0,0
263,3094655,4315,31577,6677,0,0
264,3094655,4315,31577,6677,0,0
265,3094655,4315,31577,6677,0,0
266,3094655,4315,31577,6677,0,0
267,3094655,4315,31577,6677,0,0
268,3094655,4315,31577,6677,0,0
269,3094655,4315,31577,6677,0,0
270,3094655,4315,31577,6677,0,0
271,3094590,4077,31880,6677,0,0
272,3094443,3678,32426,6677,0,0
273,3094317,3284,32946,6677,0,0
274,3094238,3004,33305,6677,0,0
275,3094174,2862,33511,6677,0,0
276,3094150,2812,33585,6677,0,0
277,3094124,2816,33607,6677,0,0
278,3094103,2810,33634,6677,0,0
279,3094084,2810,33653,6677,0,0
280,3094061,2796,33690,6677,0,0
281,3093990,2847,33710,6677,0,0
282,3093990,2836,33721,6677,0,0
283,3093990,2836,33721,6677,0,0
284,3093990,2836,33721,6677,0,0
285,3093990,2836,33721,6677,0,0
286,3093990,2836,33721,6677,0,0
287,3093990,2836,23860,6677,9861,0
288,3093990,2836,23805,6732,9861,0
289,3093990,2836,23805,6732,9861,0
290,3093990,2836,23805,6732,9861,0
291,3093990,2836,23805,6732,9861,0
292,3093990,2836,23805,6732,9861,0
293,3093990,2836,23805,6732,9861,0
294,3093990,2836,23805,6732,9861,0
295,3093920,2624,24087,6732,9861,0
296,3093898,2088,24645,6732,9861,0
297,3093877,1578,25176,6732,9861,0
298,3093862,1206,25563,6732,9861,0
299,3093857,1019,25755,6732,9861,0
300,3093857,951,25823,6732,9861,0
301,3093856,928,25847,6732,9861,0
302,3093856,909,25866,6732,9861,0
303,3093856,880,25895,6732,9861,0
304,3093856,845,25930,6732,9861,0
305,3093792,881,25958,6732,9861,0
306,3093792,863,25976,6732,9861,0
307,3093792,863,25976,6732,9861,0
308,3093792,863,25976,6732,9861,0
309,3093792,863,25976,6732,9861,0
310,3093792,863,25976,6732,9861,0
311,3093792,863,25976,6732,9861,0
312,3093792,863,25822,6886,9861,0
313,3093792,863,25822,6886,9861,0
314,3093792,863,25822,6886,9861,0
315,3093792,863,25822,6886,9861,0
