hour,susceptible,infected,quarantined,recovered,deceased
1,99999,1,0,0,0
2,99999,1,0,0,0
3,99999,1,0,0,0
4,99999,1,0,0,0
5,99999,1,0,0,0
6,99999,1,0,0,0
7,99999,1,0,0,0
8,99999,1,0,0,0
9,99999,1,0,0,0
10,99999,1,0,0,0
11,99999,1,0,0,0
12,99999,1,0,0,0
13,99999,1,0,0,0
14,99999,1,0,0,0
15,99999,1,0,0,0
16,99999,1,0,0,0
17,99999,1,0,0,0
18,99999,1,0,0,0
19,99999,1,0,0,0
20,99999,1,0,0,0
21,99999,1,0,0,0
22,99999,1,0,0,0
23,99999,1,0,0,0
24,99999,1,0,0,0
25,99999,1,0,0,0
26,99999,1,0,0,0
27,99999,1,0,0,0
28,99999,1,0,0,0
29,99999,1,0,0,0
30,99999,1,0,0,0
31,99999,1,0,0,0
32,99999,1,0,0,0
33,99999,1,0,0,0
34,99999,1,0,0,0
35,99999,1,0,0,0
36,99999,1,0,0,0
37,99999,1,0,0,0
38,99999,1,0,0,0
39,99999,1,0,0,0
40,99999,1,0,0,0
41,99999,1,0,0,0
42,99999,1,0,0,0
43,99999,1,0,0,0
44,99999,1,0,0,0
45,99999,1,0,0,0
46,99999,1,0,0,0
47,99999,1,0,0,0
48,99999,1,0,0,0
49,99999,1,0,0,0
50,99999,1,0,0,0
51,99999,1,0,0,0
52,99999,1,0,0,0
53,99999,1,0,0,0
54,99999,1,0,0,0
55,99999,1,0,0,0
56,99999,1,0,0,0
57,99999,1,0,0,0
58,99999,1,0,0,0
59,99999,1,0,0,0
60,99999,1,0,0,0
61,99999,1,0,0,0
62,99999,1,0,0,0
63,99999,1,0,0,0
64,99999,1,0,0,0
65,99999,1,0,0,0
66,99999,1,0,0,0
67,99999,1,0,0,0
68,99999,1,0,0,0
69,99999,1,0,0,0
70,99999,1,0,0,0
71,99999,1,0,0,0
72,99999,1,0,0,0
73,99999,1,0,0,0
74,99999,1,0,0,0
75,99999,1,0,0,0
76,99999,1,0,0,0
77,99999,1,0,0,0
78,99999,1,0,0,0
79,99999,1,0,0,0
80,99999,1,0,0,0
81,99999,1,0,0,0
82,99999,1,0,0,0
83,99999,1,0,0,0
84,99999,1,0,0,0
85,99999,1,0,0,0
86,99999,1,0,0,0
87,99999,1,0,0,0
88,99999,1,0,0,0
89,99999,1,0,0,0
90,99999,1,0,0,0
91,99999,1,0,0,0
92,99999,1,0,0,0
93,99999,1,0,0,0
94,99999,1,0,0,0
95,99999,1,0,0,0
96,99999,1,0,0,0
